text,word,n,id,name,Comments,CL,keyword,cbdsmokeshop,retailer,RT,Duplicate,Keyword mentioned in post?,Ingestible_edible,Vape,flower_combustible,non_ingestible,delta_8_specific,flavoring_mentioned,tested,amount_of_drug,sale_promotion_or_giveaway,Therapeutic_claim,Effects_mentioned,Naturalness,legal_high,popularity,availability,website,cbdsmokeshop_cl,retailer_cl,RT_cl,Duplicate_cl,Keyword mentioned in post?_cl,Ingestible_edible_cl,Vape_cl,flower_combustible_cl,non_ingestible_cl,delta_8_specific_cl,flavoring_mentioned_cl,tested_cl,amount_of_drug_cl,sale_promotion_or_giveaway_cl,Therapeutic_claim_cl,Effects_mentioned_cl,Naturalness_cl,legal_high_cl,popularity_cl,availability_cl,Website_cl
RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Take two CBD Delta-8 Poppin Gel capsules and call us…,prerolls,16739,1.43E+18,BestCBDOrganic,"hashtag standalone, sale, capsules","capsule, edible","not mentioned in post, hashtag standalone",1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Full Spectrum Softgels Capsules. With CBD hemp oil having a taste that can be difficult to swallow for some individuals, people looking for alternative methods to get https://t.co/4So23Oh4WR #cbdedibles #delta8 https://t.co/dqrShDQfYe",vapejuice,16612,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, capules","capsule, taste, alternative","not mentioned in post, hashtag standalone",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity CBD Nighttime Capsules 1,000mg 60 Ct. Avid Hemp’s 1,000mg CBD Nighttime Capsules provide a full spectrum profile. Of all cannabinoids and terpenes naturally found https://t.co/OkMkv2zpz9 #cbdedibles #delta8 https://t.co/tyTPYLujJA",vapejuice,16612,1.42E+18,CBDSmokeShop,"hashtag standalone, sale, capsules","capsule, sleep, natural","not mentioned in post, hashtag standalone",1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Relax Vape Liquid [12ml] Strawberry

Relax Liquid CBD Vape Liquid Strawberry Flavor [12ml] is the CBD vape liquid for relaxation made from organic CBD hemp oil. https://t.co/dg3R3UtyIw #cbdedibles #delta8 https://t.co/vowalV9ZeO",vapejuice,16612,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, vape","relax, vape, fruit, flavor, organic","product advertising, hashtag standalone",1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
RT @CBDSmokeShop: #edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Urgent CBD Pain Cream - Whether you’re throwing touch…,vapejuice,16612,1.43E+18,🟢EndTheParanoia🟢,"hashtag standalone, sale, lotion","pain, cream","not mentioned in post, hashtag standalone",1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Cherry Bomb – CBD Vape Juice - This CBD vape juice liquid blend comes in various strengths of 250mg, 500mg, 1000mg and 2000mg, and features a delicious cherry flavor https://t.co/X25FNclpiN #cbdedibles #delta8 https://t.co/fPxAnB5i35",vapejuice,16612,1.42E+18,CBDSmokeShop,"hashtag standalone, sale, vape","vape, amount of drug, flavor, fruit","product advertising, hashtag standalone",1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Joy Organics CBD Energy Drink Mix
Joy Organics CBD Energy Drink Mix packs are formulated to give you the focus + boost you might need to get the most out of your https://t.co/IpXH0ieeDI #cbdedibles #delta8 https://t.co/Ypkx4BkBV7",cbdedibles,15476,1.43E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","edible, drink, energy, focus",product advertising,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity CBD Flower Bubba Kush 4 grams

The CBD industry has been exploding, and a product category that is beginning to get a lot of attention is smokeable CBD hemp flower! https://t.co/JlpeWqGITw #cbdedibles #delta8 https://t.co/VFvWAesvh1",cbdedibles,15476,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, flower","flower, amount of drug, new",not mentioned in post,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity CBD Nighttime Capsules 1,000mg 60 Ct. Avid Hemp’s 1,000mg CBD Nighttime Capsules provide a full spectrum profile. Of all cannabinoids and terpenes naturally found https://t.co/OkMkv2zpz9 #cbdedibles #delta8 https://t.co/hGtummtWBk",cbdedibles,15476,1.42E+18,CBDSmokeShop,"hashtag standalone, sale, capsules","sleep, edible, natural",product advertising,,,,1,,,,,,,,,,,,,,,,,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity ORO Disposable Vape 10 Fruit Flavors

The ORO disposable vape devices are available in a range of flavor options. Including Apple Ice, Blue Raz, Frozen Banana, Lush https://t.co/eGasXIDUaX #cbdedibles #delta8 https://t.co/uzFUDL2Cbd",cbdedibles,15476,1.42E+18,CBDSmokeShop,"hashtag standalone, sale, vape","disposable, vape, fruit, flavor, ",not mentioned in post,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity SWFT BAR DISPOSABLE VAPE

The SWFT Bar disposable vape devices provide a variety of flavor options like Guava Berry Ice to Watermelon Ice

The device provides https://t.co/AXIPUl04wc #cbdedibles #delta8 https://t.co/I9QaK5ZfeG",cbdedibles,15476,1.43E+18,CBDSmokeShop,"hashtag standalone, sale vape","disposable, vape, flavor, fruit",not mentioned in post,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"🔥 #STAYLIT 🔥
TAKE 10% OFF TODAY WITH CODE: SPRING
https://t.co/5HYOMDPSwt

#delta8 #cbd #cbn #cbg #cannabis #vapedeal #vaping #ccell #vaporjoes #vapingunderground #singlesource #singlesourced #mmj #hemp #hempnation #hempfarm #hemplife #hemplyfe #hempire https://t.co/AL0cVzdCgN",hemp,8786,1.38E+18,Single Source,"hashtag standalone, sale",coupon,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
